crawl_date,detail_url,title,report_date,post_date,is_parsed
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-02052024,Báo cáo quỹ bình ổn giá xăng dầu ngày 02/05/2024,02/05/2024,02.05.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-25042024,Báo cáo quỹ bình ổn giá xăng dầu ngày 25/04/2024,25/04/2024,25.04.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-17042024,Báo cáo quỹ bình ổn giá xăng dầu ngày 17/04/2024,17/04/2024,17.04.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-11042024,Báo cáo quỹ bình ổn giá xăng dầu ngày 11/04/2024,11/04/2024,11.04.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-04042024,Báo cáo quỹ bình ổn giá xăng dầu ngày 04/04/2024,04/04/2024,04.04.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-28032024,Báo cáo quỹ bình ổn giá xăng dầu ngày 28/03/2024,28/03/2024,28.03.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-22032024,Báo cáo quỹ bình ổn giá xăng dầu ngày 22/03/2024,22/03/2024,22.03.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-15032024,Báo cáo quỹ bình ổn giá xăng dầu ngày 15/03/2024,15/03/2024,15.03.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-7032024,Báo cáo quỹ bình ổn giá xăng dầu ngày 7/03/2024,7/03/2024,07.03.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-29022024,Báo cáo quỹ bình ổn giá xăng dầu ngày 29/02/2024,29/02/2024,29.02.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-22022024,Báo cáo quỹ bình ổn giá xăng dầu ngày 22/02/2024,22/02/2024,22.02.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-08022024,Báo cáo quỹ bình ổn giá xăng dầu ngày 08/02/2024,08/02/2024,08.02.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-01022024,Báo cáo quỹ bình ổn giá xăng dầu ngày 01/02/2024,01/02/2024,01.02.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-25012024,Báo cáo quỹ bình ổn giá xăng dầu ngày 25/01/2024,25/01/2024,25.01.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-18012024,Báo cáo quỹ bình ổn giá xăng dầu ngày 18/01/2024,18/01/2024,18.01.2024,1
